report_month,payment_group,product_id,source_id,volume
2023-01,payment,12,45,624110375
2023-01,payment,17,45,335715113
2023-01,payment,18,45,737784466
2023-01,payment,19,45,120963069
2023-01,payment,20,45,319653158
2023-01,payment,24,45,2068335003
2023-01,payment,32,45,20000
2023-01,payment,54,45,270000
2023-01,payment,61,45,1284419600
2023-01,payment,69,45,136773417
2023-01,payment,83,45,2394600
2023-01,payment,99,45,8732383
2023-01,payment,108,45,97672860
2023-01,payment,110,45,16613283
2023-01,payment,118,45,1812710
2023-01,payment,124,45,979686
2023-01,payment,205,45,14416000
2023-01,payment,223,45,2758550
2023-01,payment,225,45,19713015
2023-01,payment,237,45,632000
2023-01,payment,288,45,720000
2023-01,payment,318,45,3802040
2023-01,payment,325,45,850250
2023-01,payment,328,45,55672793
2023-01,payment,331,45,341000
2023-01,payment,343,45,4800300
2023-01,payment,360,45,16106000
2023-01,payment,361,45,91060287
2023-01,payment,372,45,2343126103
2023-01,payment,416,45,150000
2023-01,payment,422,45,2004716905
2023-01,payment,426,45,3189580
2023-01,payment,427,45,11332346
2023-01,payment,429,45,2979095959
2023-01,payment,430,45,1009486500
2023-01,payment,431,45,2153188907
2023-01,payment,441,45,326915363
2023-01,payment,451,45,200897132
2023-01,payment,453,45,57107971
2023-01,payment,455,45,34715355
2023-01,payment,599,45,242655213
2023-01,payment,601,45,59088580
2023-01,payment,602,45,43587578
2023-01,payment,603,45,13348025
2023-01,payment,605,45,67208760
2023-01,payment,606,45,34234005
2023-01,payment,612,45,136192729
2023-01,payment,615,45,67618910
2023-01,payment,616,45,249205
2023-01,payment,617,45,381000
2023-01,payment,620,45,49917241
2023-01,payment,626,45,30738001
2023-01,payment,634,45,10601010
2023-01,payment,640,45,13045030
2023-01,payment,641,45,34151927
2023-01,payment,648,45,699000
2023-01,payment,651,45,943183
2023-01,payment,654,45,9909005
2023-01,payment,662,45,9432010
2023-01,payment,664,45,100000
2023-01,payment,665,45,3379000
2023-01,payment,670,45,395000
2023-01,payment,671,45,5903292
2023-01,payment,672,45,168704610
2023-01,payment,687,45,390000
2023-01,payment,696,45,110000
2023-01,payment,697,45,318000
2023-01,payment,700,45,14226712
2023-01,payment,701,45,9806000
2023-01,payment,704,45,277000
2023-01,payment,708,45,129104281
2023-01,payment,714,45,1075000
2023-01,payment,717,45,5892895
2023-01,payment,721,45,2030200
2023-01,payment,737,45,2537000
2023-01,payment,738,45,20407632
2023-01,payment,739,45,1386000
2023-01,payment,744,45,9790000
2023-01,payment,747,45,12758503
2023-01,payment,755,45,354200
2023-01,payment,766,45,542472
2023-01,payment,767,45,24013391
2023-01,payment,786,45,4411000
2023-01,payment,787,45,1476000
2023-01,payment,791,45,503505189
2023-01,payment,804,45,33318114
2023-01,payment,814,45,504180
2023-01,payment,836,45,12848834
2023-01,payment,839,45,371000
2023-01,payment,842,45,1044000
2023-01,payment,854,45,1520000
2023-01,payment,881,45,2690000
2023-01,payment,892,45,90145687
2023-01,payment,907,45,33383912
2023-01,payment,936,45,269000
2023-01,payment,943,45,1994000
2023-01,payment,976,45,2992000
2023-01,payment,984,45,32447000
2023-01,payment,988,45,3712000
2023-01,payment,992,45,15549005
2023-01,payment,1013,45,178000
2023-01,payment,1014,45,695000
2023-01,payment,1016,45,3343000
2023-01,payment,1020,45,2633742
2023-01,payment,1023,45,59963578
2023-01,payment,1057,45,13621383
2023-01,payment,1059,45,6724090
2023-01,payment,1063,45,981600
2023-01,payment,1078,45,5849000
2023-01,payment,1084,45,4582400
2023-01,payment,1110,45,3480605
2023-01,payment,1125,45,21770000
2023-01,payment,1127,45,95000
2023-01,payment,1130,45,550000
2023-01,payment,1143,45,19527805
2023-01,payment,1151,45,2106010
2023-01,payment,1154,45,46052792
2023-01,payment,1156,45,8035000
2023-01,payment,1163,45,1558000
2023-01,payment,1195,45,830000
2023-01,payment,1207,45,7297000
2023-01,payment,1243,45,2367000
2023-01,payment,1249,45,130000
2023-01,payment,1277,45,10211810
2023-01,payment,1305,45,9383831
2023-01,payment,1306,45,3688805
2023-01,payment,1312,45,240000
2023-01,payment,1313,45,10000
2023-01,payment,1316,45,7150828
2023-01,payment,1326,45,17818800
2023-01,payment,1330,45,195325505
2023-01,payment,1334,45,477610
2023-01,payment,1337,45,8322892
2023-01,payment,1350,45,600000
2023-01,payment,1397,45,3945632
2023-01,payment,1400,45,5663250
2023-01,payment,1403,45,83963399
2023-01,payment,1404,45,100000
2023-01,payment,1414,45,515610
2023-01,payment,1435,45,43117234
