product_id,category,team_own
17,PXXXXXB,ASD
18,PXXXXXB,ASD
20,PXXXXXB,ASD
287,PXXXXXB,ASD
372,PXXXXXB,ASD
422,PXXXXXB,ASD
429,PXXXXXB,ASD
430,PXXXXXB,ASD
431,PXXXXXB,ASD
599,PXXXXXB,ASD
634,PXXXXXB,ASD
641,PXXXXXB,ASD
651,PXXXXXB,ASD
671,PXXXXXB,ASD
672,PXXXXXB,ASD
766,PXXXXXB,ASD
767,PXXXXXB,ASD
794,PXXXXXB,ASD
836,PXXXXXB,ASD
892,PXXXXXB,ASD
898,PXXXXXB,ASD
905,PXXXXXB,ASD
1013,PXXXXXB,ASD
1020,PXXXXXB,ASD
1023,PXXXXXB,ASD
1057,PXXXXXB,ASD
1059,PXXXXXB,ASD
1087,PXXXXXB,ASD
1110,PXXXXXB,ASD
1200,PXXXXXB,ASD
1334,PXXXXXB,ASD
1403,PXXXXXB,ASD
1443,PXXXXXB,ASD
1452,PXXXXXB,ASD
1494,PXXXXXB,ASD
1495,PXXXXXB,ASD
1506,PXXXXXB,ASD
1549,PXXXXXB,ASD
1609,PXXXXXB,ASD
1645,PXXXXXB,ASD
1650,PXXXXXB,ASD
1679,PXXXXXB,ASD
1696,PXXXXXB,ASD
1714,PXXXXXB,ASD
1718,PXXXXXB,ASD
1719,PXXXXXB,ASD
1720,PXXXXXB,ASD
1741,PXXXXXB,ASD
1820,PXXXXXB,ASD
1889,PXXXXXB,ASD
2188,PXXXXXB,ASD
2318,PXXXXXB,ASD
2390,PXXXXXB,ASD
21,PXXXXXB,ASD
45,PXXXXXB,ASD
204,PXXXXXB,ASD
226,PXXXXXB,ASD
253,PXXXXXB,ASD
265,PXXXXXB,ASD
294,PXXXXXB,ASD
304,PXXXXXB,ASD
326,PXXXXXB,ASD
330,PXXXXXB,ASD
359,PXXXXXB,ASD
1316,PXXXXXC,ASL
1628,PXXXXXC,ASL
1629,PXXXXXC,ASL
2218,PXXXXXC,ASL
2219,PXXXXXC,ASL
2220,PXXXXXC,ASL
2356,PXXXXXC,ASL
110,PXXXXXD1,ASL
791,PXXXXXD1,ASL
992,PXXXXXD1,ASL
1063,PXXXXXD1,ASL
1127,PXXXXXD1,ASL
1243,PXXXXXD1,ASL
1251,PXXXXXD1,ASL
1678,PXXXXXD1,ASL
35,PXXXXXD1,ASL
111,PXXXXXD1,ASL
307,PXXXXXD2,ASD
312,PXXXXXD2,ASD
346,PXXXXXD2,ASD
54,PXXXXXE,ASD
113,PXXXXXE,ASD
288,PXXXXXE,ASD
601,PXXXXXE,ASD
605,PXXXXXE,ASD
615,PXXXXXE,ASD
752,PXXXXXE,ASD
854,PXXXXXE,ASD
907,PXXXXXE,ASD
910,PXXXXXE,ASD
988,PXXXXXE,ASD
1156,PXXXXXE,ASD
1232,PXXXXXE,ASD
1347,PXXXXXE,ASD
1463,PXXXXXE,ASD
1478,PXXXXXE,ASD
1846,PXXXXXE,ASD
100,PXXXXXE,ASD
203,PXXXXXE,ASD
216,PXXXXXE,ASD
218,PXXXXXE,ASD
219,PXXXXXE,ASD
579,PXXXXXE,APS
2174,PXXXXXE,APS
2419,PXXXXXE,APS
83,PXXXXXF,ASL
99,PXXXXXF,ASL
118,PXXXXXF,ASL
576,PXXXXXF,ASL
589,PXXXXXF,ASL
616,PXXXXXF,ASL
617,PXXXXXF,ASL
626,PXXXXXF,ASL
640,PXXXXXF,ASL
687,PXXXXXF,ASL
697,PXXXXXF,ASL
704,PXXXXXF,ASL
714,PXXXXXF,ASL
715,PXXXXXF,ASL
722,PXXXXXF,ASL
739,PXXXXXF,ASL
744,PXXXXXF,ASL
747,PXXXXXF,ASL
755,PXXXXXF,ASL
758,PXXXXXF,ASL
786,PXXXXXF,ASL
787,PXXXXXF,ASL
883,PXXXXXF,ASL
936,PXXXXXF,ASL
943,PXXXXXF,ASL
966,PXXXXXF,ASL
976,PXXXXXF,ASL
1122,PXXXXXF,ASL
